Minute	Call Count
2023-06-14 01:15	undefined	undefined
2023-06-14 01:32	undefined	undefined
2023-06-14 01:45	undefined	undefined
2023-06-14 01:46	undefined	undefined
2023-06-14 01:47	undefined	undefined
2023-06-14 01:48	undefined	undefined
2023-06-14 01:49	undefined	undefined
2023-06-14 01:51	undefined	undefined
2023-06-14 01:52	undefined	undefined
2023-06-14 01:53	undefined	undefined
2023-06-14 02:02	undefined	undefined
2023-06-14 02:05	undefined	undefined
2023-06-14 02:06	undefined	undefined
2023-06-14 02:40	undefined	undefined
2023-06-14 02:41	undefined	undefined
2023-06-14 02:47	undefined	undefined
2023-06-14 02:48	undefined	undefined
2023-06-14 02:52	undefined	undefined
2023-06-14 02:55	undefined	undefined
2023-06-14 02:57	undefined	undefined
2023-06-14 03:11	undefined	undefined
2023-06-14 07:12	undefined	undefined
2023-06-15 00:26	undefined	undefined
2023-06-15 00:27	undefined	undefined
2023-06-15 00:35	undefined	undefined
2023-06-15 00:36	undefined	undefined
2023-06-15 00:37	undefined	undefined
2023-06-15 00:38	undefined	undefined
2023-06-15 00:39	undefined	undefined
2023-06-15 00:40	undefined	undefined
2023-06-15 00:41	undefined	undefined
2023-06-15 00:42	undefined	undefined
2023-06-15 00:43	undefined	undefined
2023-06-15 00:44	undefined	undefined
2023-06-15 00:45	undefined	undefined
2023-06-15 00:46	undefined	undefined
2023-06-15 00:47	undefined	undefined
2023-06-15 00:48	undefined	undefined
2023-06-15 23:47	undefined	undefined
2023-06-16 01:55	undefined	undefined
2023-06-16 01:56	undefined	undefined
2023-06-16 01:57	undefined	undefined
2023-06-16 02:00	undefined	undefined
2023-06-17 00:07	undefined	undefined
2023-06-17 23:35	undefined	undefined
2023-06-17 23:41	undefined	undefined
2023-06-17 23:57	undefined	undefined
2023-06-18 00:01	undefined	undefined
2023-06-18 00:06	undefined	undefined
2023-06-18 00:07	undefined	undefined
2023-06-18 00:11	undefined	undefined
2023-06-18 00:12	undefined	undefined
2023-06-18 00:19	undefined	undefined
2023-06-18 00:22	undefined	undefined
2023-06-18 00:23	undefined	undefined
2023-06-18 00:24	undefined	undefined
2023-06-18 00:25	undefined	undefined
2023-06-18 00:26	undefined	undefined
2023-06-18 00:27	undefined	undefined
2023-06-18 00:28	undefined	undefined
2023-06-18 00:29	undefined	undefined
2023-06-18 00:30	undefined	undefined
2023-06-18 00:31	undefined	undefined
2023-06-18 00:38	undefined	undefined
2023-06-18 00:39	undefined	undefined
2023-06-18 00:44	undefined	undefined
2023-06-18 00:57	undefined	undefined
2023-06-18 01:07	undefined	undefined
2023-06-18 01:31	undefined	undefined
2023-06-18 01:32	undefined	undefined
2023-06-18 01:33	undefined	undefined
2023-06-18 01:34	undefined	undefined
2023-06-18 01:35	undefined	undefined
2023-06-18 01:43	undefined	undefined
2023-06-18 01:45	undefined	undefined
2023-06-18 01:46	undefined	undefined
2023-06-18 01:47	undefined	undefined
2023-06-18 01:48	undefined	undefined
2023-06-18 01:49	undefined	undefined
2023-06-18 01:51	undefined	undefined
2023-06-18 01:58	undefined	undefined
2023-06-18 02:03	undefined	undefined
2023-06-18 02:12	undefined	undefined
2023-06-18 02:13	undefined	undefined
2023-06-18 02:18	undefined	undefined
2023-06-18 02:23	undefined	undefined
2023-06-18 02:24	undefined	undefined
2023-06-18 02:28	undefined	undefined
2023-06-18 02:33	undefined	undefined
2023-06-18 02:34	undefined	undefined
2023-06-18 02:36	undefined	undefined
2023-06-18 02:38	undefined	undefined
2023-06-18 04:02	undefined	undefined
2023-06-18 04:14	undefined	undefined
2023-06-18 04:31	undefined	undefined
2023-06-18 04:36	undefined	undefined
2023-06-18 04:41	undefined	undefined
2023-06-18 04:42	undefined	undefined
2023-06-18 04:43	undefined	undefined
2023-06-18 04:44	undefined	undefined
2023-06-18 04:45	undefined	undefined
2023-06-18 04:46	undefined	undefined
2023-06-18 04:47	undefined	undefined
2023-06-18 04:48	undefined	undefined
2023-06-18 04:50	undefined	undefined
2023-06-18 04:52	undefined	undefined
2023-06-18 04:57	undefined	undefined
2023-06-18 04:59	undefined	undefined
2023-06-18 05:00	undefined	undefined
2023-06-18 05:01	undefined	undefined
2023-06-18 05:06	undefined	undefined
2023-06-18 05:08	undefined	undefined
2023-06-18 05:09	undefined	undefined
2023-06-18 05:10	undefined	undefined
2023-06-18 05:13	undefined	undefined
2023-06-18 05:18	undefined	undefined
2023-06-18 05:20	undefined	undefined
2023-06-18 05:22	undefined	undefined
2023-06-18 05:27	undefined	undefined
2023-06-18 05:28	undefined	undefined
2023-06-18 05:30	undefined	undefined
2023-06-18 05:31	undefined	undefined
2023-06-18 05:32	undefined	undefined
2023-06-18 05:33	undefined	undefined
2023-06-18 05:34	undefined	undefined
2023-06-18 05:35	undefined	undefined
2023-06-18 05:36	undefined	undefined
2023-06-18 05:37	undefined	undefined
2023-06-18 05:38	undefined	undefined
2023-06-18 05:39	undefined	undefined
2023-06-18 05:44	undefined	undefined
2023-06-18 05:45	undefined	undefined
2023-06-18 05:47	undefined	undefined
2023-06-18 05:48	undefined	undefined
2023-06-18 05:49	undefined	undefined
2023-06-18 05:53	undefined	undefined
2023-06-18 05:56	undefined	undefined
2023-06-18 05:57	undefined	undefined
2023-06-18 05:58	undefined	undefined
2023-06-18 05:59	undefined	undefined
2023-06-18 06:02	undefined	undefined
2023-06-18 06:07	undefined	undefined
2023-06-18 06:11	undefined	undefined
2023-06-18 06:12	undefined	undefined
2023-06-18 06:13	undefined	undefined
2023-06-18 06:16	undefined	undefined
2023-06-18 06:20	undefined	undefined
2023-06-18 06:24	undefined	undefined
2023-06-18 06:26	undefined	undefined
2023-06-18 06:30	undefined	undefined
2023-06-18 06:31	undefined	undefined
2023-06-18 06:32	undefined	undefined
2023-06-18 06:34	undefined	undefined
2023-06-18 06:38	undefined	undefined
2023-06-18 06:42	undefined	undefined
2023-06-18 06:43	undefined	undefined
2023-06-18 06:47	undefined	undefined
2023-06-18 06:48	undefined	undefined
2023-06-18 06:50	undefined	undefined
2023-06-18 06:51	undefined	undefined
2023-06-18 06:56	undefined	undefined
2023-06-18 07:03	undefined	undefined
2023-06-18 07:05	undefined	undefined
2023-06-18 07:10	undefined	undefined
2023-06-18 07:14	undefined	undefined
2023-06-18 07:17	undefined	undefined
2023-06-18 07:19	undefined	undefined
2023-06-18 07:23	undefined	undefined
2023-06-18 07:29	undefined	undefined
2023-06-18 07:33	undefined	undefined
2023-06-18 07:37	undefined	undefined
2023-06-18 07:41	undefined	undefined
2023-06-18 07:48	undefined	undefined
2023-06-18 07:49	undefined	undefined
2023-06-18 07:50	undefined	undefined
2023-06-18 07:54	undefined	undefined
2023-06-18 07:55	undefined	undefined
2023-06-18 07:56	undefined	undefined
2023-06-18 08:00	undefined	undefined
2023-06-18 08:01	undefined	undefined
2023-06-18 08:02	undefined	undefined
2023-06-18 08:03	undefined	undefined
2023-06-18 08:09	undefined	undefined
2023-06-18 08:15	undefined	undefined
2023-06-18 08:18	undefined	undefined
2023-06-18 08:22	undefined	undefined
2023-06-18 08:27	undefined	undefined
2023-06-18 08:30	undefined	undefined
2023-06-18 08:31	undefined	undefined
2023-06-18 08:32	undefined	undefined
2023-06-18 08:33	undefined	undefined
2023-06-18 08:37	undefined	undefined
2023-06-18 08:38	undefined	undefined
2023-06-18 08:40	undefined	undefined
2023-06-18 08:41	undefined	undefined
2023-06-18 08:44	undefined	undefined
2023-06-18 08:48	undefined	undefined
2023-06-18 08:49	undefined	undefined
2023-06-18 08:50	undefined	undefined
2023-06-18 08:53	undefined	undefined
2023-06-18 08:54	undefined	undefined
2023-06-18 08:55	undefined	undefined
2023-06-18 08:56	undefined	undefined
2023-06-18 08:59	undefined	undefined
2023-06-18 09:01	undefined	undefined
2023-06-18 09:02	undefined	undefined
2023-06-18 09:03	undefined	undefined
2023-06-18 09:04	undefined	undefined
2023-06-18 09:05	undefined	undefined
2023-06-18 09:06	undefined	undefined
2023-06-18 09:07	undefined	undefined
2023-06-18 09:08	undefined	undefined
2023-06-18 09:09	undefined	undefined
2023-06-18 09:10	undefined	undefined
2023-06-18 09:11	undefined	undefined
2023-06-18 09:15	undefined	undefined
2023-06-18 09:16	undefined	undefined
2023-06-18 09:17	undefined	undefined
2023-06-18 09:18	undefined	undefined
2023-06-18 09:19	undefined	undefined
2023-06-18 09:20	undefined	undefined
2023-06-18 09:21	undefined	undefined
2023-06-18 09:22	undefined	undefined
2023-06-18 09:23	undefined	undefined
2023-06-18 09:24	undefined	undefined
2023-06-18 09:25	undefined	undefined
2023-06-18 09:26	undefined	undefined
2023-06-18 09:27	undefined	undefined
2023-06-18 09:29	undefined	undefined
2023-06-18 09:30	undefined	undefined
2023-06-18 09:31	undefined	undefined
2023-06-18 09:33	undefined	undefined
2023-06-18 09:34	undefined	undefined
2023-06-18 09:35	undefined	undefined
2023-06-18 09:36	undefined	undefined
2023-06-18 09:37	undefined	undefined
2023-06-18 09:38	undefined	undefined
2023-06-18 09:39	undefined	undefined
2023-06-18 09:40	undefined	undefined
2023-06-18 09:42	undefined	undefined
2023-06-18 09:43	undefined	undefined
2023-06-18 09:44	undefined	undefined
2023-06-18 09:45	undefined	undefined
2023-06-18 09:46	undefined	undefined
2023-06-18 09:47	undefined	undefined
2023-06-18 09:49	undefined	undefined
2023-06-18 09:51	undefined	undefined
2023-06-18 09:52	undefined	undefined
2023-06-18 09:53	undefined	undefined
2023-06-18 09:54	undefined	undefined
2023-06-18 09:55	undefined	undefined
2023-06-18 09:57	undefined	undefined
2023-06-18 09:59	undefined	undefined
2023-06-18 10:00	undefined	undefined
2023-06-18 10:01	undefined	undefined
2023-06-18 10:02	undefined	undefined
2023-06-18 10:03	undefined	undefined
2023-06-18 10:04	undefined	undefined
2023-06-18 10:07	undefined	undefined
2023-06-18 10:08	undefined	undefined
2023-06-18 10:10	undefined	undefined
2023-06-18 10:12	undefined	undefined
2023-06-18 10:13	undefined	undefined
2023-06-18 10:18	undefined	undefined
2023-06-18 10:22	undefined	undefined
2023-06-18 10:23	undefined	undefined
2023-06-18 10:27	undefined	undefined
2023-06-18 10:28	undefined	undefined
2023-06-18 10:29	undefined	undefined
2023-06-18 10:31	undefined	undefined
2023-06-18 10:33	undefined	undefined
2023-06-18 10:35	undefined	undefined
2023-06-18 10:37	undefined	undefined
2023-06-18 10:39	undefined	undefined
2023-06-18 10:41	undefined	undefined
2023-06-18 10:42	undefined	undefined
2023-06-18 10:45	undefined	undefined
2023-06-18 10:47	undefined	undefined
2023-06-18 10:51	undefined	undefined
2023-06-18 10:54	undefined	undefined
2023-06-18 10:56	undefined	undefined
2023-06-18 10:58	undefined	undefined
2023-06-18 11:00	undefined	undefined
2023-06-18 11:02	undefined	undefined
2023-06-18 11:03	undefined	undefined
2023-06-18 11:05	undefined	undefined
2023-06-18 11:08	undefined	undefined
2023-06-18 11:12	undefined	undefined
2023-06-18 11:14	undefined	undefined
2023-06-18 11:16	undefined	undefined
2023-06-18 11:17	undefined	undefined
2023-06-18 11:18	undefined	undefined
2023-06-18 11:22	undefined	undefined
2023-06-18 11:24	undefined	undefined
2023-06-18 11:25	undefined	undefined
2023-06-18 11:26	undefined	undefined
2023-06-18 11:27	undefined	undefined
2023-06-18 11:29	undefined	undefined
2023-06-18 11:30	undefined	undefined
2023-06-18 11:32	undefined	undefined
2023-06-18 11:33	undefined	undefined
2023-06-18 11:35	undefined	undefined
2023-06-18 11:37	undefined	undefined
2023-06-18 11:40	undefined	undefined
2023-06-18 11:42	undefined	undefined
2023-06-18 11:43	undefined	undefined
2023-06-18 11:44	undefined	undefined
2023-06-18 11:45	undefined	undefined
2023-06-18 11:47	undefined	undefined
2023-06-18 11:49	undefined	undefined
2023-06-18 11:50	undefined	undefined
2023-06-18 11:51	undefined	undefined
2023-06-18 11:52	undefined	undefined
2023-06-18 11:54	undefined	undefined
2023-06-18 11:55	undefined	undefined
2023-06-18 11:56	undefined	undefined
2023-06-18 11:57	undefined	undefined
2023-06-18 11:58	undefined	undefined
2023-06-18 12:00	undefined	undefined
2023-06-18 12:02	undefined	undefined
2023-06-18 12:03	undefined	undefined
2023-06-18 12:04	undefined	undefined
2023-06-18 12:07	undefined	undefined
2023-06-18 12:09	undefined	undefined
2023-06-18 12:10	undefined	undefined
2023-06-18 12:13	undefined	undefined
2023-06-18 12:15	undefined	undefined
2023-06-18 12:17	undefined	undefined
2023-06-18 12:18	undefined	undefined
2023-06-18 12:19	undefined	undefined
2023-06-18 12:20	undefined	undefined
2023-06-18 12:21	undefined	undefined
2023-06-18 12:22	undefined	undefined
2023-06-18 12:25	undefined	undefined
2023-06-18 12:26	undefined	undefined
2023-06-18 12:27	undefined	undefined
2023-06-18 12:31	undefined	undefined
2023-06-18 12:32	undefined	undefined
2023-06-18 12:33	undefined	undefined
2023-06-18 12:36	undefined	undefined
2023-06-18 12:37	undefined	undefined
2023-06-18 12:38	undefined	undefined
2023-06-18 12:39	undefined	undefined
2023-06-18 12:41	undefined	undefined
2023-06-18 12:42	undefined	undefined
2023-06-18 12:45	undefined	undefined
2023-06-18 12:46	undefined	undefined
2023-06-18 12:49	undefined	undefined
2023-06-18 12:50	undefined	undefined
2023-06-18 12:52	undefined	undefined
2023-06-18 12:54	undefined	undefined
2023-06-18 12:57	undefined	undefined
2023-06-18 12:58	undefined	undefined
2023-06-18 13:00	undefined	undefined
2023-06-18 13:01	undefined	undefined
2023-06-18 13:02	undefined	undefined
2023-06-18 13:03	undefined	undefined
2023-06-18 13:05	undefined	undefined
2023-06-18 13:07	undefined	undefined
2023-06-18 13:11	undefined	undefined
2023-06-18 13:12	undefined	undefined
2023-06-18 13:15	undefined	undefined
2023-06-18 13:19	undefined	undefined
2023-06-18 13:20	undefined	undefined
2023-06-18 13:22	undefined	undefined
2023-06-18 13:24	undefined	undefined
2023-06-18 13:25	undefined	undefined
2023-06-18 13:27	undefined	undefined
2023-06-18 13:30	undefined	undefined
2023-06-18 13:31	undefined	undefined
2023-06-18 13:32	undefined	undefined
2023-06-18 13:33	undefined	undefined
2023-06-18 13:34	undefined	undefined
2023-06-18 13:35	undefined	undefined
2023-06-18 13:37	undefined	undefined
2023-06-18 13:38	undefined	undefined
2023-06-18 13:42	undefined	undefined
2023-06-18 13:43	undefined	undefined
2023-06-18 13:45	undefined	undefined
2023-06-18 13:48	undefined	undefined
2023-06-18 13:49	undefined	undefined
2023-06-18 13:52	undefined	undefined
2023-06-18 13:54	undefined	undefined
2023-06-18 13:55	undefined	undefined
2023-06-18 13:56	undefined	undefined
2023-06-18 13:57	undefined	undefined
2023-06-18 13:59	undefined	undefined
2023-06-18 14:02	undefined	undefined
2023-06-18 14:04	undefined	undefined
2023-06-18 14:05	undefined	undefined
2023-06-18 14:06	undefined	undefined
2023-06-18 14:11	undefined	undefined
2023-06-18 14:12	undefined	undefined
2023-06-18 14:13	undefined	undefined
2023-06-18 14:14	undefined	undefined
2023-06-18 14:15	undefined	undefined
2023-06-18 14:16	undefined	undefined
2023-06-18 14:18	undefined	undefined
2023-06-18 14:19	undefined	undefined
2023-06-18 14:20	undefined	undefined
2023-06-18 14:22	undefined	undefined
2023-06-18 14:26	undefined	undefined
2023-06-18 14:28	undefined	undefined
2023-06-18 14:30	undefined	undefined
2023-06-18 14:31	undefined	undefined
2023-06-18 14:32	undefined	undefined
2023-06-18 14:34	undefined	undefined
2023-06-18 14:36	undefined	undefined
2023-06-18 14:40	undefined	undefined
2023-06-18 14:41	undefined	undefined
2023-06-18 14:42	undefined	undefined
2023-06-18 14:44	undefined	undefined
2023-06-18 14:47	undefined	undefined
2023-06-18 14:49	undefined	undefined
2023-06-18 14:50	undefined	undefined
2023-06-18 14:51	undefined	undefined
2023-06-18 14:53	undefined	undefined
2023-06-18 14:55	undefined	undefined
2023-06-18 14:59	undefined	undefined
2023-06-18 15:01	undefined	undefined
2023-06-18 15:02	undefined	undefined
2023-06-18 15:03	undefined	undefined
2023-06-18 15:04	undefined	undefined
2023-06-18 15:05	undefined	undefined
2023-06-18 15:06	undefined	undefined
2023-06-18 15:10	undefined	undefined
2023-06-18 15:11	undefined	undefined
2023-06-18 15:13	undefined	undefined
2023-06-18 15:15	undefined	undefined
2023-06-18 15:17	undefined	undefined
2023-06-18 15:18	undefined	undefined
2023-06-18 15:22	undefined	undefined
2023-06-18 15:23	undefined	undefined
2023-06-18 15:24	undefined	undefined
2023-06-18 15:25	undefined	undefined
2023-06-18 15:28	undefined	undefined
2023-06-18 15:29	undefined	undefined
2023-06-18 15:30	undefined	undefined
2023-06-18 15:31	undefined	undefined
2023-06-18 15:34	undefined	undefined
2023-06-18 15:35	undefined	undefined
2023-06-18 15:36	undefined	undefined
2023-06-18 15:38	undefined	undefined
2023-06-18 15:40	undefined	undefined
2023-06-18 15:43	undefined	undefined
2023-06-18 15:44	undefined	undefined
2023-06-18 15:45	undefined	undefined
2023-06-18 15:46	undefined	undefined
2023-06-18 15:50	undefined	undefined
2023-06-18 15:51	undefined	undefined
2023-06-18 15:55	undefined	undefined
2023-06-18 15:56	undefined	undefined
2023-06-18 15:58	undefined	undefined
2023-06-18 16:00	undefined	undefined
2023-06-18 16:01	undefined	undefined
2023-06-18 16:03	undefined	undefined
2023-06-18 16:05	undefined	undefined
2023-06-18 16:07	undefined	undefined
2023-06-18 16:08	undefined	undefined
2023-06-18 16:10	undefined	undefined
2023-06-18 16:11	undefined	undefined
2023-06-18 16:12	undefined	undefined
2023-06-18 16:15	undefined	undefined
2023-06-18 16:16	undefined	undefined
2023-06-18 16:17	undefined	undefined
2023-06-18 16:18	undefined	undefined
2023-06-18 16:20	undefined	undefined
2023-06-18 16:22	undefined	undefined
2023-06-18 16:23	undefined	undefined
2023-06-18 16:25	undefined	undefined
2023-06-18 16:26	undefined	undefined
2023-06-18 16:28	undefined	undefined
2023-06-18 16:30	undefined	undefined
2023-06-18 16:31	undefined	undefined
2023-06-18 16:32	undefined	undefined
2023-06-18 16:33	undefined	undefined
2023-06-18 16:35	undefined	undefined
2023-06-18 16:36	undefined	undefined
2023-06-18 16:37	undefined	undefined
2023-06-18 16:38	undefined	undefined
2023-06-18 16:40	undefined	undefined
2023-06-18 16:41	undefined	undefined
2023-06-18 16:42	undefined	undefined
2023-06-18 16:43	undefined	undefined
2023-06-18 16:45	undefined	undefined
2023-06-18 16:46	undefined	undefined
2023-06-18 16:48	undefined	undefined
2023-06-18 16:49	undefined	undefined
2023-06-18 16:50	undefined	undefined
2023-06-18 16:51	undefined	undefined
2023-06-18 16:52	undefined	undefined
2023-06-18 16:53	undefined	undefined
2023-06-18 16:55	undefined	undefined
2023-06-18 16:56	undefined	undefined
2023-06-18 16:58	undefined	undefined
2023-06-18 17:00	undefined	undefined
2023-06-18 17:03	undefined	undefined
2023-06-18 17:05	undefined	undefined
2023-06-18 17:06	undefined	undefined
2023-06-18 17:07	undefined	undefined
2023-06-18 17:08	undefined	undefined
2023-06-18 17:09	undefined	undefined
2023-06-18 17:10	undefined	undefined
2023-06-18 17:13	undefined	undefined
2023-06-18 17:15	undefined	undefined
2023-06-18 17:17	undefined	undefined
2023-06-18 17:18	undefined	undefined
2023-06-18 17:20	undefined	undefined
2023-06-18 17:22	undefined	undefined
2023-06-18 17:23	undefined	undefined
2023-06-18 17:25	undefined	undefined
2023-06-18 17:27	undefined	undefined
2023-06-18 17:28	undefined	undefined
2023-06-18 17:30	undefined	undefined
2023-06-18 17:31	undefined	undefined
2023-06-18 17:33	undefined	undefined
2023-06-18 17:34	undefined	undefined
2023-06-18 17:35	undefined	undefined
2023-06-18 17:36	undefined	undefined
2023-06-18 17:38	undefined	undefined
2023-06-18 17:40	undefined	undefined
2023-06-18 17:41	undefined	undefined
2023-06-18 17:43	undefined	undefined
2023-06-18 17:45	undefined	undefined
2023-06-18 17:48	undefined	undefined
2023-06-18 17:50	undefined	undefined
2023-06-18 17:52	undefined	undefined
2023-06-18 17:53	undefined	undefined
2023-06-18 17:55	undefined	undefined
2023-06-18 17:56	undefined	undefined
2023-06-18 17:58	undefined	undefined
2023-06-18 18:00	undefined	undefined
2023-06-18 18:01	undefined	undefined
2023-06-18 18:03	undefined	undefined
2023-06-18 18:05	undefined	undefined
2023-06-18 18:06	undefined	undefined
2023-06-18 18:08	undefined	undefined
2023-06-18 18:10	undefined	undefined
2023-06-18 18:12	undefined	undefined
2023-06-18 18:14	undefined	undefined
2023-06-18 18:15	undefined	undefined
2023-06-18 18:16	undefined	undefined
2023-06-18 18:18	undefined	undefined
2023-06-18 18:20	undefined	undefined
2023-06-18 18:21	undefined	undefined
2023-06-18 18:22	undefined	undefined
2023-06-18 18:23	undefined	undefined
2023-06-18 18:25	undefined	undefined
2023-06-18 18:26	undefined	undefined
2023-06-18 18:28	undefined	undefined
2023-06-18 18:29	undefined	undefined
2023-06-18 18:30	undefined	undefined
2023-06-18 18:32	undefined	undefined
2023-06-18 18:33	undefined	undefined
2023-06-18 18:35	undefined	undefined
2023-06-18 18:36	undefined	undefined
2023-06-18 18:38	undefined	undefined
2023-06-18 18:40	undefined	undefined
2023-06-18 18:41	undefined	undefined
2023-06-18 18:43	undefined	undefined
2023-06-18 18:45	undefined	undefined
2023-06-18 18:47	undefined	undefined
2023-06-18 18:48	undefined	undefined
2023-06-18 18:50	undefined	undefined
2023-06-18 18:52	undefined	undefined
2023-06-18 18:53	undefined	undefined
2023-06-18 18:55	undefined	undefined
2023-06-18 18:56	undefined	undefined
2023-06-18 18:57	undefined	undefined
2023-06-18 18:58	undefined	undefined
2023-06-18 19:00	undefined	undefined
2023-06-18 19:01	undefined	undefined
2023-06-18 19:02	undefined	undefined
2023-06-18 19:03	undefined	undefined
2023-06-18 19:04	undefined	undefined
2023-06-18 19:05	undefined	undefined
2023-06-18 19:06	undefined	undefined
2023-06-18 19:07	undefined	undefined
2023-06-18 19:08	undefined	undefined
2023-06-18 19:09	undefined	undefined
2023-06-18 19:10	undefined	undefined
2023-06-18 19:13	undefined	undefined
2023-06-18 19:15	undefined	undefined
2023-06-18 19:17	undefined	undefined
2023-06-18 19:18	undefined	undefined
2023-06-18 19:20	undefined	undefined
2023-06-18 19:22	undefined	undefined
2023-06-18 19:23	undefined	undefined
2023-06-18 19:25	undefined	undefined
2023-06-18 19:27	undefined	undefined
2023-06-18 19:29	undefined	undefined
2023-06-18 19:31	undefined	undefined
2023-06-18 19:32	undefined	undefined
2023-06-18 19:34	undefined	undefined
2023-06-18 19:35	undefined	undefined
2023-06-18 19:36	undefined	undefined
2023-06-18 19:38	undefined	undefined
2023-06-18 19:42	undefined	undefined
2023-06-18 19:43	undefined	undefined
2023-06-18 19:44	undefined	undefined
2023-06-18 19:46	undefined	undefined
2023-06-18 19:47	undefined	undefined
2023-06-18 19:49	undefined	undefined
2023-06-18 19:51	undefined	undefined
2023-06-18 19:53	undefined	undefined
2023-06-18 19:55	undefined	undefined
2023-06-18 19:57	undefined	undefined
2023-06-18 20:00	undefined	undefined
2023-06-18 20:01	undefined	undefined
2023-06-18 20:02	undefined	undefined
2023-06-18 20:03	undefined	undefined
2023-06-18 20:04	undefined	undefined
2023-06-18 20:08	undefined	undefined
2023-06-18 20:10	undefined	undefined
2023-06-18 20:12	undefined	undefined
2023-06-18 20:14	undefined	undefined
2023-06-18 20:15	undefined	undefined
2023-06-18 20:17	undefined	undefined
2023-06-18 20:18	undefined	undefined
2023-06-18 20:19	undefined	undefined
2023-06-18 20:21	undefined	undefined
2023-06-18 20:22	undefined	undefined
2023-06-18 20:23	undefined	undefined
2023-06-18 20:24	undefined	undefined
2023-06-18 20:25	undefined	undefined
2023-06-18 20:27	undefined	undefined
2023-06-18 20:29	undefined	undefined
2023-06-18 20:31	undefined	undefined
2023-06-18 20:34	undefined	undefined
